SITE,METER_READ_DATE,VOLUME_CONSUMPTION
Site1,20190402,9
Site1,20190403,15
Site1,20190404,16
Site1,20190405,16
Site1,20190406,9
Site1,20190407,11
Site1,20190408,10
Site1,20190409,9
Site1,20190410,9
Site1,20190411,10
Site1,20190412,10
Site1,20190413,12
Site1,20190414,16
Site1,20190415,12
Site1,20190416,11
Site1,20190417,9
Site1,20190418,8
Site1,20190419,7
Site1,20190420,5
Site1,20190421,3
Site1,20190422,4
Site1,20190423,4
Site1,20190424,4
Site1,20190425,2
Site1,20190426,10
Site1,20190427,7
Site1,20190430,6
Site1,20190501,8
Site1,20190502,6
Site1,20190503,7
Site1,20190504,10
Site1,20190505,11
Site1,20190506,9
Site1,20190507,10
Site1,20190508,9
Site1,20190509,14
Site1,20190510,15
Site1,20190511,12
Site1,20190512,5
Site1,20190513,7
Site1,20190514,4
Site1,20190515,7
Site1,20190516,3
Site1,20190517,3
Site1,20190518,6
Site1,20190519,6
Site1,20190520,3
Site1,20190521,3
Site1,20190522,1
,,
Site1,20190524,2
Site1,20190525,2
Site1,20190526,2
Site1,20190527,2
Site1,20190528,3
Site1,20190529,2
Site1,20190530,3
Site1,20190531,4
Site1,20190601,3
Site1,20190602,2
Site1,20190603,3
Site1,20190604,3
Site1,20190605,3
Site1,20190606,7
Site1,20190609,7
Site1,20190610,2
Site1,20190611,6
Site1,20190612,8
Site1,20190613,9
Site1,20190614,6
Site1,20190615,6
Site1,20190616,3
Site1,20190617,5
Site1,20190618,4
Site1,20190619,3
Site1,20190620,4
Site1,20190621,3
Site1,20190622,3
Site1,20190623,1
Site1,20190624,3
Site1,20190625,1
Site1,20190626,1
Site1,20190627,1
Site1,20190628,1
Site1,20190629,2
Site1,20190630,1
Site1,20190701,2
Site1,20190702,1
Site1,20190703,1
Site1,20190704,1
Site1,20190705,1
Site1,20190706,1
Site1,20190707,1
Site1,20190708,1
Site1,20190709,1
Site1,20190710,2
Site1,20190711,2
Site1,20190712,2
Site1,20190713,2
Site1,20190714,2
Site1,20190715,2
Site1,20190716,2
Site1,20190717,2
Site1,20190718,2
Site1,20190719,2
Site1,20190720,2
Site1,20190721,3
Site1,20190722,3
Site1,20190723,2
Site1,20190724,2
Site1,20190725,2
Site1,20190726,2
Site1,20190727,2
Site1,20190728,1
Site1,20190729,3
Site1,20190730,2
Site1,20190731,3
Site1,20190801,3
Site1,20190802,3
Site1,20190803,3
Site1,20190803,3
Site1,20190804,2
Site1,20190805,3
Site1,20190806,3
Site1,20190807,3
Site1,20190808,2
Site1,20190809,2
Site1,20190810,3
Site1,20190811,1
Site1,20190812,2
Site1,20190813,2
Site1,20190814,3
Site1,20190815,3
Site1,20190816,2
,,
Site1,20190818,3
Site1,20190819,3
Site1,20190820,3
Site1,20190821,2
Site1,20190822,3
Site1,20190823,2
Site1,20190824,2
Site1,20190825,1
Site1,20190826,1
Site1,20190827,2
Site1,20190828,2
Site1,20190829,2
Site1,20190830,3
Site1,20190831,2
Site1,20190901,2
Site1,20190902,2
Site1,20190903,4
Site1,20190904,3
Site1,20190905,2
Site1,20190906,3
Site1,20190907,2
Site1,20190908,4
Site1,20190909,2
Site1,20190910,6
Site1,20190911,3
Site1,20190912,2
Site1,20190913,2
Site1,20190914,1
Site1,20190915,2
Site1,20190916,4
Site1,20190917,4
Site1,20190918,4
Site1,20190919,4
Site1,20190920,3
Site1,20190921,3
Site1,20190922,3
Site1,20190923,3
Site1,20190924,4
Site1,20190925,5
Site1,20190926,5
Site1,20190927,4
Site1,20190928,8
Site1,20190929,4
Site1,20190930,7
Site1,20191001,7
Site1,20191002,11
Site1,20191003,11
Site1,20191004,13
Site1,20191005,5
Site1,20191006,4
Site1,20191007,5
Site1,20191008,11
Site1,20191009,9
Site1,20191010,7
Site1,20191011,11
Site1,20191012,4
Site1,20191013,5
Site1,20191014,6
Site1,20191015,6
Site1,20191016,7
Site1,20191017,12
Site1,20191018,11
Site1,20191019,8
Site1,20191020,8
Site1,20191021,6
Site1,20191022,9
Site1,20191023,14
Site1,20191024,10
Site1,20191025,9
Site1,20191026,12
Site1,20191027,7
Site1,20191028,9
Site1,20191029,12
Site1,20191030,16
Site1,20191031,11
Site1,20191101,16
Site1,20191102,12
Site1,20191103,11
Site1,20191104,6
Site1,20191105,8
Site1,20191106,14
Site1,20191107,17
Site1,20191108,12
Site1,20191109,10
Site1,20191110,10
Site1,20191111,13
Site1,20191112,10
Site1,20191113,18
Site1,20191114,17
Site1,20191115,17
Site1,20191116,17
Site1,20191117,14
Site1,20191118,16
Site1,20191119,13
Site1,20191120,18
Site1,20191121,13
Site1,20191122,17
Site1,20191123,13
Site1,20191124,6
Site1,20191125,8
Site1,20191126,14
Site1,20191127,15
Site1,20191128,13
Site1,20191129,11
Site1,20191130,11
Site1,20191201,11
Site1,20191202,13
Site1,20191203,18
Site1,20191204,15
,,
,,
Site1,20191207,7
Site1,20191208,11
Site1,20191209,9
Site1,20191210,11
Site1,20191211,15
